player,season_end,dc_pre_recognition,dc_pre_traditional_production,dc_pre_team_achievement,dc_pre_statistical_impact,dc_pre_postseason_perf,dc_pre_prime_raw,dc_pre_prime_score,dc_pre_burden_residual,dc_pre_creation_share
Mike Mitchell,1980,0.0,24.559240479158202,0.0,30.579605263157898,0.0,16.90467462760735,44.357011941411024,0.0,
Larry Kenon,1980,0.0,14.911240999714336,0.0,17.844736842105263,-3.117616099071207,9.394840505757987,32.22387426055631,0.0029842778293135944,
Magic Johnson,1980,22.400000000000002,34.46373783104387,64.26285714285713,49.12828947368421,32.46664571003042,37.68579466438818,68.1465189974367,1.367763821892392,
Jack Sikma,1980,6.4,13.977178903331023,27.36274285714286,32.36118421052631,-12.168846511996902,14.789772880079754,41.18465932011963,0.0,
Dave Greenwood,1980,0.0,16.492145514025147,0.0,20.260526315789473,0.0,11.559175954770678,36.191822583746244,0.0,
Caldwell Jones,1980,0.0,11.540127015235873,27.200000000000003,6.8480263157894745,-6.195200099769971,4.274159702859986,22.83595945524331,0.0,
John Lucas,1980,0.0,11.676593142166249,0.0,21.045394736842102,0.0,10.854096464616816,34.8991768517975,0.00650635435992633,
Brian Taylor,1980,0.0,9.419665403711543,0.0,19.716447368421054,0.0,9.803713068112758,32.973473958206725,0.0,
Cedric Maxwell,1980,0.0,38.80723221704154,23.842971428571428,47.19868421052632,19.74043968194259,30.004380701979183,60.00438070197919,0.0,
Truck Robinson,1980,0.0,19.471088583536943,14.845714285714283,13.88684210526316,-4.2054794190208975,8.7289169102936,31.003014335538268,0.0,
Marques Johnson,1980,16.0,33.88104628401617,18.219428571428573,53.133552631578944,-5.998966259920268,30.293967221429178,60.29396722142918,0.74228725,
Randy Smith,1980,0.0,12.540004397830192,0.0,15.220394736842104,0.0,8.399293780687197,30.398705264593193,-0.13642509740259717,
Calvin Murphy,1980,0.0,18.41152528183022,18.164571428571428,25.79736842105263,-2.6827993756941364,13.656056739019718,39.48408510852958,0.21707920361781177,
Adrian Dantley,1980,6.4,51.72977935488694,0.0,47.26447368421053,0.0,30.560102870875465,60.56010287087547,1.8430000000000002,
Ricky Sobers,1980,0.0,9.439161842188359,0.0,4.2973684210526315,0.0,3.9128430344786027,22.173545563210773,-0.017573237476808612,
Dave Robisch,1980,0.0,20.024065767339092,0.0,32.820394736842104,0.0,16.84743873177613,44.2711580976642,0.0,
Terry Tyler,1980,0.0,8.676049520147915,0.0,13.188157894736841,0.0,7.329502145262808,28.43742059964848,0.0,
Paul Westphal,1980,24.0,38.18035167059777,22.193142857142856,46.55723684210527,-1.3222612095600836,30.806458737866627,60.80645873786663,2.8311401382189247,
Eddie Jordan,1980,0.0,13.21415963234588,0.0,17.998026315789474,0.0,10.046763205332317,33.41906587644258,-0.34848200371057475,
Kermit Washington,1980,13.600000000000001,23.373577768097434,0.0,35.05921052631579,-2.2605721848866205,20.881349925322457,49.60168740665307,0.0,
Mickey Johnson,1980,0.0,21.7519568808779,0.0,35.56644736842105,0.0,18.45617681800023,46.57022102250029,0.35952091697588257,
