player,season_end,old_postseason_perf,old_po_level,old_po_elevation,old_po_deep_run,old_po_responsibility,old_prime_raw,old_prime_score,old_perf_only_raw,old_performance_only
Magic Johnson,1980,36.114569671534646,26.74469627024834,8.104642857142855,1.2652305441434517,0.56998,37.94964310213427,68.44334848990106,32.29186532435649,62.29186532435649
Jack Sikma,1980,-14.0,-14.0,-3.0167499999999996,0.0,0.55,15.127282966524911,41.69092444978737,12.712457569699513,38.06868635454927
Dave Greenwood,1980,0.0,0.0,0.0,0.0,0.0,11.559175954770678,36.191822583746244,11.162350557945281,35.46430935623302
Caldwell Jones,1980,-7.02176881101594,-12.414224168158798,5.3924553571428575,0.0,0.55,5.2293773348357115,24.587191780532137,3.761758287216664,21.896556859897217
John Lucas,1980,0.0,0.0,0.0,0.0,0.0,10.853549930850582,34.89817487322607,10.448788026088677,34.156111381162575
Brian Taylor,1980,0.0,0.0,0.0,0.0,0.0,9.803713068112758,32.973473958206725,9.470379734779424,32.36236284709561
Cedric Maxwell,1980,26.62335773258609,19.497947078589895,6.4683492063492105,0.6570614476469822,0.57664,32.01601680823787,62.01601680823787,30.87722315744422,60.87722315744422
Truck Robinson,1980,-2.843,-1.991111111111111,-0.8518888888888888,0.0,0.55,9.293791777145934,32.038618258100875,8.85418860254276,31.232679104661724
Marques Johnson,1980,-10.186484922165343,-6.458732734665344,-3.7277521874999997,0.0,0.65656,29.696278876082204,59.696278876082204,25.40985030465363,55.262312880817035
Randy Smith,1980,0.0,0.0,0.0,0.0,0.0,8.410753488869016,30.419714729593196,8.428610631726158,30.45245282483129
Calvin Murphy,1980,-4.172341687903004,-3.1509783198474484,-1.0213633680555556,0.0,0.6332500000000001,13.589767326861084,39.384650990291625,12.90016415225791,38.350246228386865
Adrian Dantley,1980,0.0,0.0,0.0,0.0,0.0,30.660650870875465,60.660650870875465,28.924301664526258,58.924301664526254
Ricky Sobers,1980,0.0,0.0,0.0,0.0,0.0,3.9143191864266544,22.1762518417822,3.616700138807607,21.63061692114728
Dave Robisch,1980,0.0,0.0,0.0,0.0,0.0,16.84743873177613,44.2711580976642,16.67680381114121,44.01520571671181
Terry Tyler,1980,0.0,0.0,0.0,0.0,0.0,7.329502145262808,28.43742059964848,6.833470399231062,27.528029065256945
Paul Westphal,1980,-1.8992153609310034,0.23335502101344172,-2.1325703819444453,0.0,0.8663500000000001,30.671516933295187,60.67151693329519,25.237469314247566,55.04683664280946
Eddie Jordan,1980,0.0,0.0,0.0,0.0,0.0,10.076035693644004,33.472732105014,9.643496011104322,32.679742687024586
