Rank,Player,Best window,Seasons included,Anchor season,Prime raw,Prime display,Avg SI contribution,Avg TP contribution,Avg Recognition contribution,Avg Postseason contribution,Avg Team Achievement contribution,Avg Teammate adjustment,Best season score,Weakest season score,Window variance,Data completeness status
35,Clyde Drexler,1987-88-1991-92,"1987-88, 1988-89, 1989-90, 1990-91, 1991-92",1991-92,39.4324,70.11,24.3884,7.6679,4.2263,2.0566,1.2053,-0.112,47.162,31.5803,28.7599,complete
36,Jimmy Butler,2019-20-2023-24,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",2022-23,38.8778,69.49,23.7958,7.6639,2.4992,3.5928,1.1854,0.1407,45.291,25.5832,43.3338,complete
37,Scottie Pippen,1993-94-1997-98,"1993-94, 1994-95, 1995-96, 1996-97, 1997-98",1993-94,38.7824,69.38,22.4112,6.2136,7.6352,1.3466,1.4061,-0.2303,40.994,27.8624,24.1926,complete
38,Manu Ginobili,2003-04-2007-08,"2003-04, 2004-05, 2005-06, 2006-07, 2007-08",2004-05,38.5141,69.08,23.3387,8.6816,0.9407,4.1952,1.6212,-0.2632,45.6127,24.9451,50.8448,complete
39,Damian Lillard,2016-17-2020-21,"2016-17, 2017-18, 2018-19, 2019-20, 2020-21",2020-21,38.1681,68.69,23.0272,9.7014,3.9421,1.1383,0.1841,0.1751,40.0969,28.3347,18.9679,complete
40,Chauncey Billups,2003-04-2007-08,"2003-04, 2004-05, 2005-06, 2006-07, 2007-08",2005-06,37.9882,68.49,22.4794,8.548,3.4694,2.0028,1.5804,-0.0919,43.4018,31.673,21.8666,complete
41,Kevin McHale,1985-86-1989-90,"1985-86, 1986-87, 1987-88, 1988-89, 1989-90",1986-87,37.4061,67.83,19.2317,9.7854,5.6114,2.1342,0.9749,-0.3315,45.0915,25.7121,43.2169,complete
42,Patrick Ewing,1989-90-1993-94,"1989-90, 1990-91, 1991-92, 1992-93, 1993-94",1989-90,37.2182,67.62,20.7363,9.209,5.138,1.1538,0.8195,0.1615,42.8631,29.9597,18.5971,complete
43,Gary Payton,1995-96-1999-00,"1995-96, 1996-97, 1997-98, 1998-99, 1999-00",1999-00,36.8226,67.18,20.7294,6.0363,8.3831,0.9123,0.7259,0.0356,39.3658,28.779,13.889,complete
44,Alonzo Mourning,1995-96-1999-00,"1995-96, 1996-97, 1997-98, 1998-99, 1999-00",1999-00,36.6507,66.98,19.0935,9.0834,7.5563,0.5834,0.2903,0.0438,46.1607,23.6594,95.477,complete
45,Sidney Moncrief,1981-82-1985-86,"1981-82, 1982-83, 1983-84, 1984-85, 1985-86",1982-83,36.3052,66.59,20.3219,7.0107,8.3885,-0.2334,0.9026,-0.0852,41.9638,31.2558,15.0214,complete
46,Jayson Tatum,2020-21-2024-25,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",2022-23,35.8994,66.14,19.0139,8.0652,5.8003,1.426,1.6312,-0.0372,39.483,23.2775,32.4261,complete
47,Allen Iverson,1998-99-2002-03,"1998-99, 1999-00, 2000-01, 2001-02, 2002-03",2000-01,35.6471,65.85,18.2313,5.9106,9.3488,0.9515,0.9919,0.213,47.8066,22.2698,73.37,complete
48,Reggie Miller,1993-94-1997-98,"1993-94, 1994-95, 1995-96, 1996-97, 1997-98",1993-94,34.7622,64.86,19.6083,9.1343,1.8436,3.2779,0.8138,0.0842,37.9983,29.644,9.8867,complete
49,Jason Kidd,1998-99-2002-03,"1998-99, 1999-00, 2000-01, 2001-02, 2002-03",2002-03,34.1213,64.14,18.7012,5.0107,8.4029,0.739,1.2102,0.0573,36.8919,28.3897,10.4222,complete
50,Grant Hill,1995-96-1999-00,"1995-96, 1996-97, 1997-98, 1998-99, 1999-00",1996-97,34.0462,64.05,22.0506,7.5545,3.9637,0.356,0.0,0.1214,39.9382,27.2707,18.8362,complete
51,Adrian Dantley,1983-84-1987-88,"1983-84, 1984-85, 1985-86, 1986-87, 1987-88",1983-84,33.5908,63.59,19.238,10.21,2.4481,0.9012,0.6495,0.144,42.0254,24.2777,41.5353,complete
52,Bernard King,1980-81-1984-85,"1980-81, 1981-82, 1982-83, 1983-84, 1984-85",1983-84,33.0174,63.02,17.1508,8.6294,4.2155,2.4958,0.3243,0.2016,42.2422,23.603,51.9847,complete
53,Ben Wallace,2001-02-2005-06,"2001-02, 2002-03, 2003-04, 2004-05, 2005-06",2002-03,32.5971,62.6,16.6887,3.7241,10.5463,1.1048,0.6225,-0.0893,36.3324,25.9623,15.6679,complete
54,Kevin Johnson,1988-89-1992-93,"1988-89, 1989-90, 1990-91, 1991-92, 1992-93",1990-91,32.5136,62.51,19.5162,8.4061,2.8845,0.9094,0.9025,-0.1051,36.2154,16.4861,54.9619,complete
55,Amar'e Stoudemire,2006-07-2010-11,"2006-07, 2007-08, 2008-09, 2009-10, 2010-11",2007-08,32.4737,62.47,17.1854,10.3758,3.5545,1.1111,0.322,-0.0752,39.6371,20.3176,55.5105,complete
56,Ray Allen,2000-01-2004-05,"2000-01, 2001-02, 2002-03, 2003-04, 2004-05",2000-01,32.2352,62.24,18.5909,8.2101,1.9601,2.8282,0.5479,0.098,41.1204,23.3604,40.8837,complete
57,Pau Gasol,2006-07-2010-11,"2006-07, 2007-08, 2008-09, 2009-10, 2010-11",2008-09,32.0527,62.05,19.817,7.1656,1.7342,2.2797,1.2055,-0.1494,35.6546,23.8292,25.2927,complete
58,Karl-Anthony Towns,2017-18-2021-22,"2017-18, 2018-19, 2019-20, 2020-21, 2021-22",2018-19,32.0197,62.02,20.8922,9.7839,1.28,-0.1938,0.0,0.2574,34.269,24.2483,14.8694,complete
59,Domantas Sabonis,2020-21-2024-25,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",2023-24,31.8701,61.87,20.5456,9.473,1.9327,-0.2355,0.0,0.1543,35.8637,23.6401,25.6004,complete
60,Paul Pierce,2001-02-2005-06,"2001-02, 2002-03, 2003-04, 2004-05, 2005-06",2001-02,31.4494,61.45,19.2241,7.9404,1.6732,1.7366,0.5565,0.3187,35.4216,17.6359,37.5272,complete
61,Kyrie Irving,2014-15-2018-19,"2014-15, 2015-16, 2016-17, 2017-18, 2018-19",2018-19,31.4366,61.44,19.6797,7.9759,1.8994,0.8896,1.0839,-0.092,33.3836,25.1437,10.3937,complete
62,Shawn Kemp,1992-93-1996-97,"1992-93, 1993-94, 1994-95, 1995-96, 1996-97",1995-96,31.2188,61.22,16.6807,8.3796,3.0074,2.6886,0.6587,-0.1963,37.7137,23.7169,25.1863,complete
63,Elton Brand,2001-02-2005-06,"2001-02, 2002-03, 2003-04, 2004-05, 2005-06",2005-06,31.1132,61.11,20.5433,7.654,1.502,0.8863,0.1956,0.3321,41.56,20.1607,54.9912,complete
64,Isiah Thomas,1983-84-1987-88,"1983-84, 1984-85, 1985-86, 1986-87, 1987-88",1984-85,31.0646,61.06,17.8138,5.4795,5.3129,1.8359,0.6126,0.0098,36.4342,26.1931,12.6879,complete
65,Yao Ming,2004-05-2008-09,"2004-05, 2005-06, 2006-07, 2007-08, 2008-09",2008-09,30.8883,60.89,17.7747,9.3192,2.3491,1.2413,0.1764,0.0277,32.2285,26.2606,4.2166,complete
66,George Gervin,1979-80-1983-84,"1979-80, 1980-81, 1981-82, 1982-83, 1983-84",1981-82,30.7018,60.7,16.2326,8.0668,5.5054,-0.1342,0.7612,0.2699,35.7765,14.8054,58.2146,complete
67,Jalen Brunson,2021-22-2025-26,"2021-22, 2022-23, 2023-24, 2024-25, 2025-26",2023-24,30.6568,60.66,16.8884,7.2567,3.68,1.4878,1.4941,-0.1502,35.1799,15.5766,47.6364,complete
68,Chris Webber,1998-99-2002-03,"1998-99, 1999-00, 2000-01, 2001-02, 2002-03",2000-01,30.6036,60.6,18.6093,6.3529,4.7978,0.1464,0.6897,0.0073,34.5053,18.0667,39.065,complete
69,Terry Porter,1987-88-1991-92,"1987-88, 1988-89, 1989-90, 1990-91, 1991-92",1990-91,30.513,60.51,19.7013,7.4003,0.4918,2.0578,1.151,-0.2892,37.6665,17.6648,53.9866,complete
70,Dominique Wilkins,1985-86-1989-90,"1985-86, 1986-87, 1987-88, 1988-89, 1989-90",1986-87,30.3899,60.39,19.4314,6.4654,4.3847,-0.4577,0.5074,0.0587,32.429,23.2973,10.3011,complete
71,Paul George,2015-16-2019-20,"2015-16, 2016-17, 2017-18, 2018-19, 2019-20",2018-19,29.994,59.99,18.1726,6.849,4.1345,0.7988,0.0696,-0.0305,39.5004,20.1006,58.0454,complete
72,Donovan Mitchell,2021-22-2025-26,"2021-22, 2022-23, 2023-24, 2024-25, 2025-26",2022-23,29.8777,59.88,17.988,7.6372,3.3344,0.4332,0.6063,-0.1213,31.5094,23.0642,9.2338,complete
73,Chris Mullin,1987-88-1991-92,"1987-88, 1988-89, 1989-90, 1990-91, 1991-92",1990-91,29.7846,59.78,17.8884,8.4314,2.8668,0.1109,0.2986,0.1884,31.7586,19.1644,22.2131,complete
74,Blake Griffin,2010-11-2014-15,"2010-11, 2011-12, 2012-13, 2013-14, 2014-15",2013-14,29.7384,59.74,18.168,7.4199,2.9724,0.9844,0.5321,-0.3384,34.1281,23.0727,12.5184,complete
75,Draymond Green,2014-15-2018-19,"2014-15, 2015-16, 2016-17, 2017-18, 2018-19",2015-16,29.6934,59.69,15.9056,4.5924,6.2137,1.8817,1.5366,-0.4366,36.9533,15.6219,63.4175,complete
76,DeAndre Jordan,2013-14-2017-18,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18",2014-15,29.5373,59.54,17.0823,7.1107,4.6603,0.8276,0.1382,-0.2818,32.7742,20.6862,21.4537,complete
77,Tyrese Haliburton,2020-21-2024-25,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",2023-24,29.5152,59.52,18.6857,6.6957,1.8271,1.1785,0.9555,0.1728,36.3561,11.5764,93.3797,complete
78,Artis Gilmore,1980-81-1984-85,"1980-81, 1981-82, 1982-83, 1983-84, 1984-85",1980-81,29.3293,59.33,17.6377,9.9584,1.0795,0.3082,0.2607,0.0849,32.3781,19.6488,24.3966,complete
79,Andrei Kirilenko,2001-02-2005-06,"2001-02, 2002-03, 2003-04, 2004-05, 2005-06",2003-04,29.2033,59.2,21.3584,5.71,1.9311,-0.0546,0.0,0.2584,34.5668,18.9045,25.4993,complete
80,Vince Carter,1999-00-2003-04,"1999-00, 2000-01, 2001-02, 2002-03, 2003-04",2000-01,29.0978,59.1,19.5403,6.3375,2.1807,0.46,0.2337,0.3455,39.1845,18.2873,60.3046,complete
81,Dikembe Mutombo,1996-97-2000-01,"1996-97, 1997-98, 1998-99, 1999-00, 2000-01",1996-97,29.0415,59.04,14.8257,5.6249,6.7016,1.6332,0.3573,-0.1011,31.8832,25.0736,6.7497,complete
82,Kevin Love,2013-14-2017-18,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18",2013-14,28.8274,58.83,18.7588,7.4157,1.6691,0.1528,0.9701,-0.1391,42.4152,21.2823,66.5415,complete
83,Marques Johnson,1979-80-1983-84,"1979-80, 1980-81, 1981-82, 1982-83, 1983-84",1980-81,28.6908,58.69,18.7501,6.1641,2.3879,0.7429,0.7651,-0.1192,36.4112,16.6002,55.3699,complete
84,Alex English,1981-82-1985-86,"1981-82, 1982-83, 1983-84, 1984-85, 1985-86",1982-83,28.5832,58.58,16.5493,7.3277,3.5608,0.4812,0.5687,0.0955,32.1031,24.8594,6.2268,complete
85,Kyle Lowry,2013-14-2017-18,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18",2016-17,28.4589,58.46,19.7924,7.2387,1.3082,-0.621,0.7161,0.0245,31.5105,18.5621,21.5911,complete
86,Shawn Marion,2002-03-2006-07,"2002-03, 2003-04, 2004-05, 2005-06, 2006-07",2005-06,28.4426,58.44,20.2256,5.9493,1.7942,0.1052,0.4789,-0.1106,32.7737,19.3123,18.6574,complete
87,Robert Parish,1980-81-1984-85,"1980-81, 1981-82, 1982-83, 1983-84, 1984-85",1980-81,28.3664,58.37,18.2177,7.3998,2.3516,-0.4286,1.2349,-0.409,33.8652,16.1791,45.4146,complete
88,Isaiah Thomas,2012-13-2016-17,"2012-13, 2013-14, 2014-15, 2015-16, 2016-17",2016-17,28.1413,58.14,17.8008,8.5828,1.5843,-0.4522,0.4603,0.1653,40.8629,14.3217,79.6299,complete
89,Jarrett Allen,2021-22-2025-26,"2021-22, 2022-23, 2023-24, 2024-25, 2025-26",2024-25,28.0092,58.01,17.8442,8.1995,0.2548,1.4636,0.3225,-0.0754,30.8027,21.2075,11.647,complete
90,Brad Daugherty,1988-89-1992-93,"1988-89, 1989-90, 1990-91, 1991-92, 1992-93",1991-92,27.9349,57.93,16.906,8.3341,1.4594,0.9703,0.4696,-0.2046,35.9107,7.5215,101.7987,complete
91,Carmelo Anthony,2009-10-2013-14,"2009-10, 2010-11, 2011-12, 2012-13, 2013-14",2012-13,27.9141,57.91,16.7671,7.2864,3.4315,0.1586,0.2381,0.0323,33.5851,21.6846,21.4333,complete
92,Bobby Jones,1979-80-1983-84,"1979-80, 1980-81, 1981-82, 1982-83, 1983-84",1980-81,27.8662,57.87,16.5889,5.9919,3.2432,1.5202,0.9469,-0.4248,31.3545,21.813,12.2832,complete
93,Deron Williams,2007-08-2011-12,"2007-08, 2008-09, 2009-10, 2010-11, 2011-12",2007-08,27.5316,57.53,15.9885,7.1165,2.1948,1.7824,0.4285,0.0209,32.7434,17.2934,32.7399,complete
94,Gilbert Arenas,2002-03-2006-07,"2002-03, 2003-04, 2004-05, 2005-06, 2006-07",2005-06,27.5145,57.51,17.3545,7.3771,1.8918,0.4755,0.1333,0.2823,35.3505,8.6909,99.2468,complete
95,Marc Gasol,2010-11-2014-15,"2010-11, 2011-12, 2012-13, 2013-14, 2014-15",2012-13,27.2811,57.28,17.0878,4.7416,4.101,0.8921,0.5072,-0.0487,34.4058,15.6476,57.7037,complete
96,DeMarcus Cousins,2013-14-2017-18,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18",2016-17,27.1785,57.18,17.8713,7.5713,1.569,0.0,0.0,0.1669,30.4503,22.1714,7.718,complete
97,Chris Bosh,2005-06-2009-10,"2005-06, 2006-07, 2007-08, 2008-09, 2009-10",2007-08,26.923,56.92,17.2224,7.8208,1.7263,-0.0347,0.0,0.1882,28.643,23.4478,3.6158,complete
98,Hassan Whiteside,2014-15-2018-19,"2014-15, 2015-16, 2016-17, 2017-18, 2018-19",2015-16,26.8466,56.85,17.0804,7.561,0.9448,0.968,0.1172,0.1753,35.2367,20.0082,32.4502,complete
99,Devin Booker,2019-20-2023-24,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",2022-23,26.7995,56.8,14.6554,7.3237,2.3206,1.8807,0.619,0.0,29.9867,15.9241,25.554,complete
100,Tim Hardaway,1994-95-1998-99,"1994-95, 1995-96, 1996-97, 1997-98, 1998-99",1996-97,26.7833,56.78,17.5798,5.2563,3.6384,-0.1985,0.4603,0.0471,34.8674,16.6004,54.2583,complete
101,Joakim Noah,2009-10-2013-14,"2009-10, 2010-11, 2011-12, 2012-13, 2013-14",2013-14,26.71,56.71,16.6877,4.0132,5.7694,0.0384,0.1733,0.028,38.1056,15.8832,57.5346,complete
102,Terrell Brandon,1995-96-1999-00,"1995-96, 1996-97, 1997-98, 1998-99, 1999-00",1995-96,26.64,56.64,19.4572,6.1696,0.7557,0.2519,0.0,0.0055,34.8874,16.7157,43.3372,complete
103,Peja Stojakovic,2000-01-2004-05,"2000-01, 2001-02, 2002-03, 2003-04, 2004-05",2003-04,26.5519,56.55,16.4549,7.8149,2.1678,-0.2849,0.5219,-0.1227,32.328,16.7587,30.3177,complete
104,Larry Nance,1988-89-1992-93,"1988-89, 1989-90, 1990-91, 1991-92, 1992-93",1991-92,26.5321,56.53,17.9047,6.1479,1.9973,0.3412,0.3427,-0.2016,28.9718,17.6434,18.1349,complete
105,Bam Adebayo,2019-20-2023-24,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",2019-20,26.4067,56.41,15.9421,6.4954,2.6597,0.5052,0.866,-0.0618,28.5777,18.9199,15.2995,complete
106,Mookie Blaylock,1993-94-1997-98,"1993-94, 1994-95, 1995-96, 1996-97, 1997-98",1996-97,26.3046,56.3,19.0605,4.2531,2.7845,-0.284,0.4595,0.0311,29.8436,17.0721,19.3497,complete
107,Trae Young,2019-20-2023-24,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",2021-22,26.1663,56.17,16.1572,8.2008,0.991,0.2689,0.3682,0.1802,30.9453,19.0126,17.7403,complete
108,Tony Parker,2008-09-2012-13,"2008-09, 2009-10, 2010-11, 2011-12, 2012-13",2012-13,26.1497,56.15,14.882,6.9736,2.9696,0.3797,1.0739,-0.1292,32.9032,9.3511,67.1702,complete
109,James Worthy,1985-86-1989-90,"1985-86, 1986-87, 1987-88, 1988-89, 1989-90",1988-89,25.7633,55.7,14.72,5.7719,2.1981,2.096,1.367,-0.3897,26.3967,24.0269,0.6967,complete
110,Mitch Richmond,1993-94-1997-98,"1993-94, 1994-95, 1995-96, 1996-97, 1997-98",1996-97,25.6373,55.55,15.344,7.2009,2.6572,0.0575,0.0,0.3776,30.2416,19.6974,15.2389,complete
111,Eddie Jones,1997-98-2001-02,"1997-98, 1998-99, 1999-00, 2000-01, 2001-02",1997-98,25.5585,55.45,16.781,5.277,2.2564,0.9473,0.2752,0.0217,28.8086,21.2143,11.6954,complete
112,Anthony Edwards,2021-22-2025-26,"2021-22, 2022-23, 2023-24, 2024-25, 2025-26",2024-25,25.4449,55.31,13.6746,6.5645,2.3876,1.885,0.969,-0.0359,30.5513,12.1968,52.6254,complete
113,Mike Conley,2012-13-2016-17,"2012-13, 2013-14, 2014-15, 2015-16, 2016-17",2016-17,25.2178,55.02,17.6015,5.8155,0.3785,1.0046,0.3949,0.0228,33.4634,16.9201,35.326,complete
114,Jeff Hornacek,1994-95-1998-99,"1994-95, 1995-96, 1996-97, 1997-98, 1998-99",1995-96,25.1897,54.99,16.8503,6.8015,0.0,1.035,0.9444,-0.4414,30.3256,19.7667,12.7529,complete
115,Clint Capela,2016-17-2020-21,"2016-17, 2017-18, 2018-19, 2019-20, 2020-21",2017-18,25.1091,54.89,16.7521,7.2247,0.2515,0.7598,0.5061,-0.385,31.235,15.0316,27.5511,complete
116,Evan Mobley,2021-22-2025-26,"2021-22, 2022-23, 2023-24, 2024-25, 2025-26",2024-25,25.0972,54.87,14.6161,5.7253,3.3586,1.0788,0.533,-0.2146,37.8769,11.1415,78.9431,complete
117,Maurice Cheeks,1982-83-1986-87,"1982-83, 1983-84, 1984-85, 1985-86, 1986-87",1982-83,25.006,54.76,15.853,5.332,3.1977,0.0146,0.8881,-0.2794,27.8494,19.5254,8.118,complete
118,Sam Cassell,1999-00-2003-04,"1999-00, 2000-01, 2001-02, 2002-03, 2003-04",2003-04,24.9006,54.63,16.069,7.5674,1.0574,-0.3242,0.5983,-0.0674,33.2923,16.6526,31.2458,complete
119,Tyson Chandler,2010-11-2014-15,"2010-11, 2011-12, 2012-13, 2013-14, 2014-15",2011-12,24.8988,54.62,14.4818,7.3071,3.2223,-0.347,0.3027,-0.068,29.7963,13.583,27.6099,complete
120,LaMarcus Aldridge,2014-15-2018-19,"2014-15, 2015-16, 2016-17, 2017-18, 2018-19",2017-18,24.8364,54.55,16.2617,5.7073,2.3779,0.3638,0.2305,-0.1048,29.8806,12.4163,33.9396,complete
121,Cedric Maxwell,1979-80-1983-84,"1979-80, 1980-81, 1981-82, 1982-83, 1983-84",1980-81,24.6593,54.32,14.6342,6.2533,1.0323,2.2832,0.8632,-0.4068,30.5596,12.2427,63.5671,complete
122,Horace Grant,1991-92-1995-96,"1991-92, 1992-93, 1993-94, 1994-95, 1995-96",1991-92,24.6313,54.29,17.1248,4.4641,1.3357,1.2777,0.8279,-0.3989,30.1923,17.9732,21.8212,complete
