player,exception_score,exception_routes,best_preliminary_single_season,best_preliminary_three_year_window,best_legacy_window,included
Jarrett Jack,46.42,elite individual peak,60.0,52.5,54.1,False
Jusuf Nurkic,46.42,elite individual peak,67.1,60.1,60.9,False
T.J. McConnell,46.41,elite individual peak,61.6,58.5,60.9,False
Wally Szczerbiak,46.34,elite individual peak,59.2,54.0,55.2,False
Montrezl Harrell,46.33,elite individual peak,64.7,61.1,62.9,False
John Lucas,46.33,elite individual peak,61.8,55.9,57.0,False
Tyrone Hill,46.29,elite individual peak,57.4,54.2,55.6,False
Sherman Douglas,46.25,elite individual peak,59.2,53.6,54.9,False
Mason Plumlee,46.24,elite individual peak,64.8,59.0,60.7,False
Andrew Toney,46.22,elite individual peak,58.2,56.7,59.2,False
Tiago Splitter,46.2,elite individual peak,58.9,57.8,60.9,False
Rudy Gay,46.19,elite individual peak,54.9,50.8,51.5,False
Anderson Varejao,46.19,elite individual peak,58.2,54.4,57.0,False
T.R. Dunn,46.16,3x All-Def,48.3,46.8,49.3,False
Jamal Crawford,46.16,elite individual peak,56.5,50.8,52.0,False
Orlando Woolridge,46.14,elite individual peak,58.8,54.5,55.8,False
John Collins,46.09,elite individual peak,60.4,56.3,57.9,False
Cliff Robinson,46.08,elite individual peak,56.5,53.0,54.5,False
Tristan Thompson,46.07,elite individual peak,59.4,57.5,60.5,False
Jeff Malone,46.07,elite individual peak,52.4,50.9,52.8,False
Charles Smith,46.04,elite individual peak,58.4,53.7,55.1,False
Gerald Henderson,46.04,elite individual peak,53.5,52.6,53.9,False
Tyreke Evans,45.94,elite individual peak,60.8,53.0,53.8,False
Luis Scola,45.9,elite individual peak,60.5,55.7,57.3,False
Desmond Bane,45.89,elite individual peak,58.4,54.2,55.6,False
J.R. Smith,45.88,elite individual peak,55.4,50.8,52.6,False
Zaza Pachulia,45.86,elite individual peak,58.8,56.5,58.4,False
Jeff Foster,45.84,elite individual peak,63.1,60.8,63.3,False
Antonio Daniels,45.81,elite individual peak,60.3,54.2,55.4,False
Kelly Tripucka,45.78,elite individual peak,54.7,50.7,52.1,False
Chuck Person,45.76,elite individual peak,55.3,50.8,52.0,False
Steve Stipanovich,45.73,elite individual peak,58.0,53.1,54.3,False
Rodney Rogers,45.71,elite individual peak,57.0,53.5,55.6,False
Scott Skiles,45.69,elite individual peak,61.3,58.5,59.3,False
Mark West,45.67,elite individual peak,60.7,57.5,59.6,False
Clarence Weatherspoon,45.62,elite individual peak,54.7,53.4,54.7,False
Andris Biedrins,45.61,elite individual peak,59.7,57.4,58.9,False
LaSalle Thompson,45.61,elite individual peak,59.9,57.1,58.7,False
Armen Gilliam,45.58,elite individual peak,54.5,52.6,53.6,False
Mike Dunleavy,45.57,elite individual peak,53.9,48.4,50.7,False
Joe Barry Carroll,45.56,elite individual peak,54.9,50.5,51.2,False
Austin Reaves,45.56,elite individual peak,59.4,57.7,59.2,False
Lester Conner,45.52,elite individual peak,58.9,52.9,53.9,False
Kendrick Perkins,45.51,elite individual peak,58.2,56.4,59.0,False
Larry Smith,45.49,elite individual peak,57.8,52.0,53.5,False
Josh Giddey,45.39,elite individual peak,60.2,59.2,60.3,False
Keith Van Horn,45.37,elite individual peak,55.8,53.5,55.9,False
Mike Mitchell,45.34,elite individual peak,53.0,51.5,54.0,False
Rory Sparrow,45.33,elite individual peak,53.6,52.7,54.8,False
Mario Chalmers,45.28,elite individual peak,54.9,51.7,54.4,False
Willie Anderson,45.27,elite individual peak,56.3,52.1,53.5,False
Don Buse,45.2,elite individual peak,54.4,49.1,51.1,False
Joe Smith,45.17,elite individual peak,55.4,50.9,52.0,False
Darnell Valentine,45.16,elite individual peak,59.1,56.4,58.4,False
Jaden McDaniels,45.14,elite individual peak,53.9,48.5,51.1,False
Wesley Matthews,45.1,elite individual peak,53.8,48.7,49.7,False
Ronnie Brewer,45.09,elite individual peak,59.4,52.8,54.2,False
Thurl Bailey,45.08,elite individual peak,55.1,50.9,52.2,False
